service_id,date,exception_type
DWN-2604-DR2604PH-Holiday1-62,20260505,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260505,2
DWN-2604-DR2604PH-Holiday1-62,20260506,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260506,2
DWN-2604-DR2604PH-Holiday1-62,20260507,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260507,2
DWN-2604-DR2604PH-Holiday1-62,20260508,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260508,2
DWN-2604-DR2604PH-Holiday1-62,20260509,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260509,2
DWN-2604-DR2604PH-Holiday1-62,20260510,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260510,2
DWN-2604-DR2604PH-Holiday1-62,20260511,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260511,2
DWN-2604-DR2604PH-Holiday1-62,20260512,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260512,2
DWN-2604-DR2604PH-Holiday1-62,20260513,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260513,2
DWN-2604-DR2604PH-Holiday1-62,20260514,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260514,2
DWN-2604-DR2604PH-Holiday1-62,20260515,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260515,2
DWN-2604-DR2604PH-Holiday1-62,20260516,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260516,2
DWN-2604-DR2604PH-Holiday1-62,20260517,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260517,2
DWN-2604-DR2604PH-Holiday1-62,20260518,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260518,2
DWN-2604-DR2604PH-Holiday1-62,20260519,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260519,2
DWN-2604-DR2604PH-Holiday1-62,20260520,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260520,2
DWN-2604-DR2604PH-Holiday1-62,20260521,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260521,2
DWN-2604-DR2604PH-Holiday1-62,20260522,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260522,2
DWN-2604-DR2604PH-Holiday1-62,20260523,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260523,2
DWN-2604-DR2604PH-Holiday1-62,20260524,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260524,2
DWN-2604-DR2604PH-Holiday1-62,20260525,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260525,2
DWN-2604-DR2604PH-Holiday1-62,20260526,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260526,2
DWN-2604-DR2604PH-Holiday1-62,20260527,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260527,2
DWN-2604-DR2604PH-Holiday1-62,20260528,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260528,2
DWN-2604-DR2604PH-Holiday1-62,20260529,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260529,2
DWN-2604-DR2604PH-Holiday1-62,20260530,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260530,2
DWN-2604-DR2604PH-Holiday1-62,20260531,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260531,2
DWN-2604-DR2604PH-Holiday1-62,20260601,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260601,2
DWN-2604-DR2604PH-Holiday1-62,20260602,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260602,2
DWN-2604-DR2604PH-Holiday1-62,20260603,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260603,2
DWN-2604-DR2604PH-Holiday1-62,20260604,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260604,2
DWN-2604-DR2604PH-Holiday1-62,20260605,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260605,2
DWN-2604-DR2604PH-Holiday1-62,20260606,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260606,2
DWN-2604-DR2604PH-Holiday1-62,20260607,2
DWN-2604-DR2604PH-Holiday1-62-1111111,20260607,2
DWN-2604-BL2604TM-Weekday-10,20260504,2
DWN-2604-BL2604TM-Weekday-10-0001000,20260504,2
DWN-2604-BL2604TM-Weekday-10-1110100,20260504,2
DWN-2604-BL2604TM-Weekday-10-0000100,20260504,2
DWN-2604-BL2604TM-Weekday-10,20260608,2
DWN-2604-BL2604TM-Weekday-10-0001000,20260608,2
DWN-2604-BL2604TM-Weekday-10-1110100,20260608,2
DWN-2604-BL2604TM-Weekday-10-0000100,20260608,2
