route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-42,1,1,"Urban - Casuarina - Casuarina via Hospital & Tiwi",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
1h-42,1,1h,"Urban - Royal Darwin Hospital - Diabetes Aust",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
2-42,1,2,"Urban - Cas - Wanguri - Leanyer -Wulagi -Wagaman",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
3-42,1,3,"Urban - Casuarina - Alawa - Jingili - Moil - Anula",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
4-42,1,4,"Urban - Casuarina - Darwin via CDU & Nightcliff",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
5-42,1,5,"Urban - Cas - Marrara - Berrimah - Winnellie - Da",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
6-42,1,6,"Urban - Darwin - Museum - Fannie Bay - Parap",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
7-42,1,7,"Urban - Darwin - Stuart Park - Bayview",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
8-40,1,8,"Urban - Palmerston - Darwin via Stuart Highway",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
8-42,1,8,"Urban - Palmerston - Darwin via Stuart Highway",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
9-40,1,9,"Urban - Palmerston - Berrimah - Karama- Casuarina",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
9-42,1,9,"Urban - Palmerston - Berrimah - Karama- Casuarina",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
10-42,1,10,"Urban - Casuarina - Darwin via Bagot Rd",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
11-42,1,11,"Urban - Millner - Rapid Creek - Alawa",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
12-42,1,12,"Urban - Casuarina - Malak - Karama",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
14-42,1,14,"Urban - Darwin - Cullen Bay and Waterfront",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
15-40,1,15,"Urban - Darwin - Mindil - Darwin",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
19-40,1,19,"Urban - Mindil Markets - Casuarina",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
21-42,1,21,"Urban - Hospital Precinct - Darwin Express",,3,http://www.transport.nt.gov.au/public-transport/public-bus-service/darwin,BD0021,FFFFFF
