shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10012,-12.373765,130.883309,10001,0.000
10012,-12.373480,130.883393,10002,0.033
10012,-12.373271,130.883461,10003,0.057
10012,-12.373080,130.883521,10004,0.079
10012,-12.372748,130.883635,10005,0.118
10012,-12.372711,130.883648,10006,0.122
10012,-12.372614,130.883681,10007,0.134
10012,-12.372461,130.883734,10008,0.151
10012,-12.372345,130.883774,10009,0.165
10012,-12.371955,130.883894,10010,0.210
10012,-12.371785,130.883941,10011,0.229
10012,-12.371762,130.883947,10012,0.232
10012,-12.371730,130.883952,10013,0.236
10012,-12.371500,130.883989,10014,0.262
10012,-12.371415,130.883990,10015,0.271
10012,-12.371283,130.883966,10016,0.286
10012,-12.371201,130.883951,10017,0.295
10012,-12.371109,130.883935,10018,0.305
10012,-12.371091,130.883932,10019,0.307
10012,-12.370919,130.883885,10020,0.327
10012,-12.370799,130.883835,10021,0.341
10012,-12.370739,130.883810,10022,0.348
10012,-12.370180,130.883484,10023,0.420
10012,-12.370068,130.883411,10024,0.434
10012,-12.369913,130.883318,10025,0.454
10012,-12.369482,130.883079,10026,0.508
10012,-12.369482,130.883079,20001,0.508
10012,-12.369079,130.882857,20002,0.559
10012,-12.369022,130.882822,20003,0.567
10012,-12.368923,130.882763,20004,0.579
10012,-12.368143,130.882290,20005,0.680
10012,-12.367984,130.882172,20006,0.702
10012,-12.367824,130.882031,20007,0.725
10012,-12.367683,130.881846,20008,0.750
10012,-12.367585,130.881691,20009,0.770
10012,-12.367499,130.881533,20010,0.790
10012,-12.367418,130.881313,20011,0.816
10012,-12.367375,130.881165,20012,0.833
10012,-12.367283,130.881189,20013,0.843
10012,-12.367056,130.881245,20014,0.869
10012,-12.366890,130.881290,20015,0.888
10012,-12.366890,130.881290,30001,0.888
10012,-12.366528,130.881388,30002,0.929
10012,-12.366138,130.881490,30003,0.974
10012,-12.365472,130.881667,30004,1.050
10012,-12.365062,130.881777,30005,1.097
10012,-12.365154,130.882153,30006,1.139
10012,-12.365164,130.882216,30007,1.146
10012,-12.365166,130.882292,30008,1.154
10012,-12.365165,130.882367,30009,1.163
10012,-12.365153,130.882461,30010,1.173
10012,-12.365138,130.882533,30011,1.181
10012,-12.365111,130.882610,30012,1.190
10012,-12.365075,130.882691,30013,1.200
10012,-12.365046,130.882741,30014,1.206
10012,-12.365021,130.882780,30015,1.211
10012,-12.364775,130.883098,30016,1.255
10012,-12.364719,130.883157,30017,1.264
10012,-12.364677,130.883199,30018,1.270
10012,-12.364610,130.883244,30019,1.279
10012,-12.364567,130.883270,30020,1.285
10012,-12.364514,130.883302,30021,1.292
10012,-12.364626,130.883537,30022,1.320
10012,-12.364842,130.883978,30023,1.373
10012,-12.364910,130.884142,30024,1.393
10012,-12.364910,130.884142,40001,1.393
10012,-12.364924,130.884172,40002,1.396
10012,-12.364958,130.884277,40003,1.408
10012,-12.364986,130.884392,40004,1.421
10012,-12.364998,130.884455,40005,1.428
10012,-12.365010,130.884523,40006,1.436
10012,-12.365017,130.884613,40007,1.446
10012,-12.365023,130.884714,40008,1.456
10012,-12.365026,130.884926,40009,1.480
10012,-12.365032,130.885049,40010,1.493
10012,-12.365032,130.885230,40011,1.513
10012,-12.365032,130.885698,40012,1.563
10012,-12.364372,130.885699,40013,1.637
10012,-12.363714,130.885697,40014,1.709
10012,-12.362972,130.885694,40015,1.791
10012,-12.362260,130.885688,40016,1.870
10012,-12.361701,130.885687,40017,1.932
10012,-12.361596,130.885686,40018,1.944
10012,-12.361596,130.885686,50001,1.944
10012,-12.360491,130.885682,50002,2.066
10012,-12.359291,130.885688,50003,2.199
10012,-12.359246,130.885674,50004,2.204
10012,-12.359239,130.885669,50005,2.205
10012,-12.359192,130.885632,50006,2.211
10012,-12.359169,130.885594,50007,2.216
10012,-12.359140,130.885491,50008,2.228
10012,-12.359144,130.885092,50009,2.271
10012,-12.359150,130.884390,50010,2.348
10012,-12.359213,130.883105,50011,2.488
10012,-12.359218,130.883019,50012,2.497
10012,-12.359221,130.882944,50013,2.505
10012,-12.359226,130.882870,50014,2.513
10012,-12.359134,130.882866,50015,2.523
10012,-12.359042,130.882864,50016,2.534
10012,-12.358970,130.882863,50017,2.542
10012,-12.358747,130.882862,50018,2.566
10012,-12.358593,130.882858,50019,2.583
10012,-12.358593,130.882858,60001,2.583
10012,-12.358520,130.882857,60002,2.591
10012,-12.358074,130.882852,60003,2.641
10012,-12.357537,130.882850,60004,2.700
10012,-12.357488,130.882853,60005,2.705
10012,-12.357240,130.882851,60006,2.733
10012,-12.357008,130.882850,60007,2.759
10012,-12.356613,130.882846,60008,2.802
10012,-12.356501,130.882847,60009,2.815
10012,-12.356153,130.882846,60010,2.853
10012,-12.356053,130.882844,60011,2.864
10012,-12.355984,130.882844,60012,2.872
10012,-12.355984,130.882844,70001,2.872
10012,-12.355572,130.882842,70002,2.917
10012,-12.355526,130.882840,70003,2.922
10012,-12.354998,130.882836,70004,2.981
10012,-12.354558,130.882832,70005,3.030
10012,-12.354512,130.882833,70006,3.035
10012,-12.354428,130.882833,70007,3.044
10012,-12.354347,130.882832,70008,3.053
10012,-12.354322,130.882832,70009,3.056
10012,-12.354235,130.882831,70010,3.065
10012,-12.354070,130.882838,70011,3.084
10012,-12.353745,130.882837,70012,3.120
10012,-12.353527,130.882834,70013,3.144
10012,-12.353359,130.882833,70014,3.162
10012,-12.353267,130.882833,70015,3.172
10012,-12.353261,130.882921,70016,3.182
10012,-12.353263,130.882980,70017,3.188
10012,-12.353262,130.883025,70018,3.193
10012,-12.353262,130.883155,70019,3.208
10012,-12.353260,130.883280,70020,3.221
10012,-12.353259,130.883577,70021,3.253
10012,-12.353256,130.883893,70022,3.288
10012,-12.353255,130.883913,70023,3.290
10012,-12.353258,130.884267,70024,3.329
10012,-12.353257,130.884406,70025,3.344
10012,-12.353255,130.884546,70026,3.359
10012,-12.353254,130.884833,70027,3.390
10012,-12.353251,130.884996,70028,3.408
10012,-12.353250,130.885096,70029,3.419
10012,-12.353215,130.885186,70030,3.429
10012,-12.353142,130.885269,70031,3.441
10012,-12.353067,130.885323,70032,3.451
10012,-12.353050,130.885393,70033,3.459
10012,-12.353072,130.885462,70034,3.467
10012,-12.353118,130.885495,70035,3.473
10012,-12.353192,130.885504,70036,3.482
10012,-12.353246,130.885481,70037,3.488
10012,-12.353250,130.885096,70038,3.530
10012,-12.353251,130.884996,70039,3.541
10012,-12.353254,130.884833,70040,3.558
10012,-12.353255,130.884546,70041,3.590
10012,-12.353257,130.884406,70042,3.605
10012,-12.353258,130.884267,70043,3.620
10012,-12.353256,130.884070,70044,3.642
10012,-12.353256,130.884070,80001,3.642
10012,-12.353255,130.883913,80002,3.659
10012,-12.353256,130.883893,80003,3.661
10012,-12.353259,130.883577,80004,3.695
