stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
004,,"Trower Road after Bradshaw Terrace",, -12.369522, 130.883003,,,0
005,,"Delamere Street before Wangalara Street",, -12.366872, 130.881220,,,0
006,,"8 Willeroo Street",, -12.364839, 130.884178,,,0
007,,"75 Henbury Avenue",, -12.361667, 130.885637,,,0
008,,"Darwin Private Hospital",, -12.358594, 130.882803,,,0
009,,"Royal Darwin Hospital",, -12.355985, 130.882798,,,0
01,,"Darwin Harry Chan Ave",, -12.464786, 130.844340,,,0
011,,"10 Manbulloo Street",, -12.360410, 130.880367,,,0
012,,"Tiwi Gardens before Tiwi Place",, -12.362257, 130.876928,,,0
013,,"4 Erldunda Street",, -12.365271, 130.876145,,,0
014,,"Trower Road after Ellengowan Drive",, -12.365334, 130.872831,,,0
015,,"13 Omeo Street",, -12.367038, 130.871353,,,0
016,,"51 Ellengowan Drive",, -12.366709, 130.873853,,,0
017,,"opp 21 Macredie St",, -12.369518, 130.875639,,,0
018,,"29 Buchanan Tce",, -12.371672, 130.874692,,,0
019,,"6 Ellengowan Drive",, -12.372502, 130.872485,,,0
020,,"86 Dripstone Road",, -12.373703, 130.873830,,,0
021,,"Dripstone Rd before Goodman St",, -12.375271, 130.875926,,,0
023,,"Angelo St before Gsell St",, -12.373489, 130.885145,,,0
024,,"51 Gsell Street",, -12.370572, 130.886256,,,0
025,,"Tambling Tce before Danimila Tce",, -12.366077, 130.889341,,,0
026,,"74 Wanguri Tce",, -12.369047, 130.889489,,,0
027,,"8 Canaris St",, -12.370738, 130.890592,,,0
029,,"5 VRD Dve",, -12.368871, 130.893059,,,0
030,,"VRD Drive before Rosewood Cres",, -12.370662, 130.896982,,,0
032,,"Leanyer Drive at Baines St Park",, -12.372540, 130.899592,,,0
033,,"125 Leanyer Dr",, -12.375419, 130.900558,,,0
034,,"151 Leanyer Dve",, -12.378024, 130.901912,,,0
035,,"Leanyer Dve after Parkside Cres",, -12.380180, 130.903460,,,0
036,,"opp 182 Leanyer Dve",, -12.382051, 130.902512,,,0
037,,"Vanderlin Dve after Leanyer Dve",, -12.383642, 130.902643,,,0
038,,"58 Patterson Street",, -12.386699, 130.903373,,,0
039,,"68 Wulagi Cres",, -12.384784, 130.899497,,,0
040,,"Brolga St opp Shops",, -12.383873, 130.894024,,,0
041,,"34 Jabiru St",, -12.381630, 130.894320,,,0
042,,"8 Jabiru St",, -12.380821, 130.891361,,,0
043,,"Wagaman Tce at Shops",, -12.380316, 130.886812,,,0
044,,"opp 56 Wagaman Tce",, -12.379656, 130.883721,,,0
046,,"Trower Rd after Linton St",, -12.373753, 130.883268,,,0
047,,"9 Scaturchio St",, -12.372131, 130.882065,,,0
049,,"Trower Rd before Carstens Cres",, -12.380400, 130.880643,,,0
050,,"Trower Rd after Parer Dr",, -12.382304, 130.878545,,,0
051,,"Trower Rd before Jingili Cres",, -12.383079, 130.874811,,,0
052,,"72 Jingili Tce",, -12.384236, 130.873695,,,0
053,,"opp 49 Jingili Tce",, -12.386596, 130.873331,,,0
055,,"9 Scales St",, -12.390087, 130.878848,,,0
057,,"Lee Point Rd after Moil Cres",, -12.390722, 130.883987,,,0
058,,"15 Yanyula Drive",, -12.389789, 130.887219,,,0
060,,"3 Springhill St",, -12.391938, 130.894874,,,0
061,,"Matthews Rd at Yanyula Greenbelt",, -12.390108, 130.896542,,,0
062,,"Union Terrace",, -12.388388, 130.895858,,,0
063,,"Union Tce before Copperfield Cres",, -12.387724, 130.893137,,,0
064,,"24 Union Terrace",, -12.386096, 130.890246,,,0
065,,"Parer Drive after Greenwood Cres",, -12.385800, 130.885411,,,0
066,,"43 Parer Drive",, -12.383977, 130.882278,,,0
067,,"Parer Dr at Casuarina Senior College",, -12.382978, 130.880928,,,0
068,,"211 Trower Rd after Alawa Crescent",, -12.379790, 130.880922,,,0
072,,"81 Cavenagh St",, -12.457438, 130.837730,,,0
073,,"121 Mitchell St",, -12.457540, 130.833976,,,0
074,,"Mitchell St before Malabar St",, -12.455356, 130.831742,,,0
075,,"Mitchell St before Lambell Tce",, -12.453731, 130.830053,,,0
076,,"Gilruth Ave at Casino",, -12.449391, 130.831612,,,0
077,,"Gilruth Ave at Mindil Beach",, -12.445950, 130.833326,,,0
078,,"East Point Rd after Conacher St",, -12.435441, 130.837850,,,0
079,,"East Point Rd before Atkins Dve",, -12.430741, 130.837062,,,0
080,,"opp 6 Dick Ward Dr, Fannie Bay",, -12.424453, 130.839989,,,0
081,,"Dick Ward Drive at Minmarama Park",, -12.411856, 130.850282,,,0
082,,"Dick Ward Drive before Caryota Ct",, -12.400569, 130.852237,,,0
083,,"Dick Ward Drive opp Radford Ct",, -12.397541, 130.852267,,,0
