route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
12-42,DWN-2604-BL2604M-Saturday-04,709227-DWN-2604-BL2604M-Saturday-04,"12 MALAK KARAMA WULAGI",0,120026
12-42,DWN-2604-BL2604M-Saturday-04,709228-DWN-2604-BL2604M-Saturday-04,"12 MALAK KARAMA WULAGI",0,120026
12-42,DWN-2604-BL2604M-Saturday-04,709229-DWN-2604-BL2604M-Saturday-04,"12 MALAK KARAMA WULAGI",0,120026
4-42,DWN-2604-BL2604M-Saturday-04,718677-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718678-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718679-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718680-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718681-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718682-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718683-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718684-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718685-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA PARAP & MUSEUM",1,40175
4-42,DWN-2604-BL2604M-Saturday-04,718686-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA MUSEUM",1,40176
4-42,DWN-2604-BL2604M-Saturday-04,718687-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA MUSEUM",1,40176
4-42,DWN-2604-BL2604M-Saturday-04,718688-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA MUSEUM",1,40176
4-42,DWN-2604-BL2604M-Saturday-04,718689-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA MUSEUM",1,40176
4-42,DWN-2604-BL2604M-Saturday-04,718690-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA MUSEUM",1,40176
4-42,DWN-2604-BL2604M-Saturday-04,718691-DWN-2604-BL2604M-Saturday-04,"CASUARINA VIA MUSEUM",1,40176
4-42,DWN-2604-BL2604M-Saturday-04,718692-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA VIA PARAP",1,40178
4-42,DWN-2604-BL2604M-Saturday-04,718693-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA VIA PARAP",1,40178
4-42,DWN-2604-BL2604M-Saturday-04,718694-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA VIA PARAP",1,40178
4-42,DWN-2604-BL2604M-Saturday-04,718695-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA VIA PARAP",1,40178
4-42,DWN-2604-BL2604M-Saturday-04,718696-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA VIA PARAP",1,40178
4-42,DWN-2604-BL2604M-Saturday-04,718697-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA VIA PARAP",1,40178
4-42,DWN-2604-BL2604M-Saturday-04,718698-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA",1,40177
4-42,DWN-2604-BL2604M-Saturday-04,718699-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA",1,40177
4-42,DWN-2604-BL2604M-Saturday-04,718700-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA",1,40177
4-42,DWN-2604-BL2604M-Saturday-04,718701-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA",1,40177
4-42,DWN-2604-BL2604M-Saturday-04,718702-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA",1,40177
4-42,DWN-2604-BL2604M-Saturday-04,718703-DWN-2604-BL2604M-Saturday-04,"4 CASUARINA",1,40177
